customer_id,signup_date,home_store,total_lifetime_spend,loyalty_tier
1,2025-05-10,4,70.04,Bronze
2,2024-11-12,4,81.16,Bronze
3,2023-05-03,1,209.44,Silver
4,2025-04-10,1,181.16,Bronze
5,2023-08-17,1,612.91,Silver
6,2025-10-26,3,6.39,Bronze
7,2022-03-13,1,,Silver
8,2024-02-27,4,754.46,Gold
9,2025-09-30,4,3.71,Bronze
10,2024-03-19,3,179.46,Bronze
11,2024-05-31,3,73.83,Bronze
12,2022-06-18,1,116.04,Bronze
13,2024-02-06,3,107.37,Bronze
14,2025-03-27,4,32.06,Bronze
15,2025-08-11,3,26.37,Bronze
16,2023-09-03,1,96.83,Bronze
17,2022-07-30,2,351.44,Silver
18,2025-05-31,1,1.35,Bronze
19,2023-12-22,3,182.74,Bronze
20,2024-11-04,1,120.38,Bronze
21,2022-02-26,2,180.81,Bronze
22,2023-07-27,1,1460.56,Gold
23,2022-03-24,1,137.57,Bronze
24,2023-11-18,3,241.03,Silver
25,2023-05-26,3,697.53,Silver
26,2025-12-22,2,0.06,Bronze
27,2023-12-23,4,542.37,Silver
28,2023-08-09,4,49.76,Bronze
29,2023-03-14,2,1358.44,Gold
30,2024-05-12,4,559.85,Silver
31,2022-04-18,3,154.79,Bronze
32,2023-07-10,3,93.27,bronze
33,2023-04-08,4,376.07,Silver
34,2025-11-23,1,3.66,Bronze
35,2024-10-19,3,142.55,Bronze
36,2025-08-06,1,95.6,Bronze
37,2022-06-29,3,752.04,Gold
38,2022-10-30,3,282.91,Silver
39,2024-12-29,1,67.52,Bronze
40,2025-12-10,3,13.4,Bronze
41,2022-02-06,1,939.7,Gold
42,2025-09-25,2,10.03,Bronze
43,2022-04-18,2,233.15,Silver
44,2025-04-07,3,135.99,Bronze
45,2022-05-03,3,246.71,Silver
46,2023-05-14,3,805.53,Gold
47,2022-12-09,4,204.46,Silver
48,2023-01-26,4,96.11,Bronze
49,2022-08-04,1,93.67,Bronze
50,2024-06-17,2,4.97,Bronze
51,2022-01-11,3,58.53,Bronze
52,2025-05-18,3,15.42,Bronze
53,2022-10-09,1,155.5,Bronze
54,2022-08-05,3,198.28,Bronze
55,2024-02-11,3,405.14,Silver
56,2023-03-11,4,941.19,Gold
57,2025-07-08,3,209.49,Silver
58,2022-01-10,2,96.95,Bronze
59,2022-10-29,1,641.67,Silver
60,2025-01-29,1,62.49,Bronze
61,2022-10-27,1,199.93,Bronze
62,2025-08-16,1,37.12,Bronze
63,2024-06-08,1,2.08,Bronze
64,2024-02-04,1,,Silver
65,2022-01-31,3,500.03,Silver
66,2024-05-12,2,220.09,Silver
67,2025-11-05,4,25.39,Bronze
68,2023-10-08,4,581.34,Silver
69,2024-01-10,3,7.58,Bronze
70,2025-06-30,1,32.65,Bronze
71,2025-02-17,1,61.73,Bronze
72,2024-05-02,4,271.36,Silver
73,2023-04-04,1,342.68,Silver
74,2024-12-28,3,38.97,Bronze
75,2024-09-02,3,87.29,Bronze
76,2024-03-09,1,133.07,Bronze
77,2024-08-30,1,202.72,Silver
78,2023-08-14,1,223.0,Silver
79,2024-12-04,3,174.87,Bronze
80,2022-07-01,3,34.41,Bronze
81,2023-11-10,1,136.14,Bronze
82,2024-08-25,1,101.37,BRONZE
83,2025-06-09,4,9.32,Bronze
84,2024-04-04,2,317.86,Silver
85,2024-10-30,4,252.74,Silver
86,2024-08-06,4,248.32,Silver
87,2023-09-17,4,8.98,Bronze
88,2022-10-06,3,168.45,Bronze
89,2025-09-21,4,54.93,Bronze
90,2023-03-28,4,155.58,Bronze
91,2023-02-27,4,5.1,Bronze
92,2022-12-25,2,2974.42,Platinum
93,2024-12-08,3,320.99,Silver
94,2022-04-02,2,407.75,Silver
95,2022-07-03,1,261.97,Silver
96,2025-02-03,3,42.35,Bronze
97,2025-03-02,4,105.74,Bronze
98,2024-06-11,1,9.89,Bronze
99,2024-12-13,4,99.93,Bronze
100,2023-08-13,1,208.58,Silver
101,2022-06-04,1,22.43,Bronze
102,2025-02-18,3,102.9,Bronze
103,2025-02-28,1,1.05,Bronze
104,2022-02-06,4,42.74,Bronze
105,2022-09-07,1,152.22,Bronze
106,2024-03-10,1,11.58,Bronze
107,2023-08-27,3,241.87,Silver
108,2024-05-02,3,941.67,Gold
109,2022-01-13,3,99.16,Bronze
110,2024-01-27,1,49.45,Bronze
111,2024-02-12,4,52.95,Bronze
112,2025-05-14,2,68.83,Bronze
113,2023-04-17,4,91.72,Bronze
114,2023-02-17,1,270.99,Silver
115,2022-06-15,3,993.5,Gold
116,2022-01-22,3,857.21,Gold
117,2024-12-19,1,52.42,Bronze
118,2023-09-23,3,400.71,Silver
119,2025-11-01,1,14.11,Bronze
120,2024-09-23,2,489.7,Silver
121,2023-10-18,3,27.25,Bronze
122,2025-05-10,1,51.44,Bronze
123,2025-07-21,2,19.43,Bronze
124,2022-09-14,3,740.89,Silver
125,2025-07-21,4,84.97,Bronze
126,2022-12-20,4,177.65,Bronze
127,2025-12-09,4,4.25,Bronze
128,2022-10-20,3,300.83,Silver
129,2022-08-16,2,1472.43,Gold
130,2024-08-26,3,1028.32,Gold
131,2025-12-29,4,2.21,Bronze
132,2022-01-03,1,113.16,Bronze
133,2022-06-05,4,61.57,Bronze
134,2022-01-05,1,1064.45,Gold
135,2022-05-18,3,357.61,Silver
136,2023-09-27,1,472.5,Silver
137,2023-08-24,2,267.96,Silver
138,2024-06-26,1,81.61,Bronze
139,2023-07-30,3,295.29,Silver
140,2025-02-12,1,302.58,Silver
141,2023-04-18,1,68.46,Bronze
142,2022-11-03,2,721.36,Silver
143,2025-12-30,2,0.03,Bronze
144,2025-08-22,2,14.15,Bronze
145,2022-05-31,4,45.05,Bronze
146,2023-07-02,3,298.98,Silver
147,2022-08-24,4,33.67,Bronze
148,2025-06-21,4,68.49,Bronze
149,2022-07-30,3,537.59,Silver
150,2022-09-20,1,868.53,Gold
151,2022-05-04,1,413.59,Silver
152,2025-02-06,3,89.99,Bronze
153,2024-04-25,1,1343.31,Gold
154,,1,67.89,Bronze
155,2023-08-24,2,1078.58,Gold
156,2024-06-25,4,38.07,Bronze
157,2022-06-07,1,218.45,Silver
158,2024-04-15,3,524.13,silver
159,2025-12-31,4,0.07,Bronze
160,2025-09-05,3,32.77,Bronze
161,2024-06-13,1,119.33,Bronze
162,2025-01-14,3,69.93,Bronze
163,2025-03-13,3,64.55,Bronze
