po_id,vendor_id,store_id,product_id,order_date,quantity_ordered,total_cost,expected_delivery_date
1,38,3,413,2022-07-01,56,1482.49,2022-07-15
2,21,3,364,2024-06-22,98,1036.75,2024-07-08
3,25,3,159,2022-07-23,17,577.72,2022-08-01
4,36,2,384,2022-12-19,91,827.92,2022-12-23
5,46,4,103,2023-05-09,89,18480.48,2023-06-02
6,24,2,449,2025-06-23,26,1200.37,2025-07-02
7,5,4,101,2024-09-02,57,3117.76,2024-09-09
8,5,1,205,2024-03-16,59,3576.74,2024-03-21
9,9,3,374,2022-02-24,61,1538.69,2022-03-02
10,36,1,32,2024-12-10,65,709.36,2024-12-15
11,4,1,420,2023-08-06,71,6636.5,2023-08-26
12,50,1,40,2025-04-03,49,4690.16,2025-04-13
13,11,4,413,2023-01-09,74,1911.54,2023-01-14
14,6,4,435,2022-04-10,92,789.18,2022-04-19
15,38,4,398,2025-07-02,60,1715.43,2025-07-17
16,10,4,452,2022-11-23,68,1001.28,2022-12-04
17,34,4,88,2023-08-19,67,926.14,2023-08-30
18,26,3,171,2023-04-23,62,6289.79,2023-05-09
19,7,4,69,2022-05-08,53,571.32,2022-05-15
20,4,4,289,2025-06-02,37,1218.17,2025-06-14
21,39,1,383,2025-06-09,78,1950.49,2025-06-16
22,37,3,139,2025-11-24,33,559.56,2025-12-07
23,47,3,293,2023-07-26,198,15814.72,2023-08-28
24,48,2,105,2025-10-30,140,1453.69,2025-11-03
25,23,3,419,2023-10-17,57,145.28,2023-10-23
26,6,3,377,2024-09-07,21,2220.46,2024-09-21
27,48,1,307,2022-05-17,23,899.77,2022-05-22
28,8,3,74,2025-08-09,41,1492.52,2025-08-22
29,31,1,419,2023-03-28,54,130.39,2023-04-09
30,47,4,103,2023-01-24,49,10758.54,2023-02-13
31,9,3,207,2022-01-10,39,1607.23,2022-01-20
32,20,1,355,2024-03-19,91,746.74,2024-03-23
33,14,4,187,2023-11-30,93,933.86,2023-12-06
34,21,4,422,2024-07-26,19,664.65,2024-08-07
35,38,1,453,2025-12-03,54,5250.56,2025-12-14
36,42,2,336,2025-08-24,71,3748.85,2025-09-15
37,38,2,292,2025-08-25,40,1852.02,2025-09-07
38,29,4,162,2024-02-17,158,2618.39,2024-02-22
39,17,1,172,2022-06-16,74,14106.42,2022-06-25
40,41,4,286,2022-09-24,87,1323.93,2022-10-04
41,4,3,403,2025-10-28,74,3525.17,2025-11-06
42,15,2,364,2023-08-28,60,631.72,2023-09-07
43,21,4,455,2025-06-30,15,690.68,2025-07-15
44,3,2,248,2024-09-11,62,3793.92,2024-09-26
45,1,1,51,2024-07-17,96,8275.45,2024-07-28
46,29,4,94,2023-02-18,30,797.16,2023-02-28
47,28,4,231,2025-08-08,112,244.48,2025-08-16
48,20,1,443,2022-11-03,125,1790.24,2022-11-07
49,22,1,17,2023-08-18,125,287.71,2023-08-23
50,38,1,350,2025-12-23,32,1850.02,2026-01-07
51,29,1,222,2024-12-13,58,514.01,2024-12-23
52,1,1,399,2023-10-16,103,1143.05,2023-10-29
53,14,1,326,2024-04-14,42,2036.61,2024-04-20
54,31,1,193,2023-08-27,28,747.94,2023-09-04
55,10,1,383,2024-12-02,58,1321.35,2024-12-15
56,38,4,440,2023-08-12,95,2629.62,2023-08-23
57,7,2,425,2024-09-08,25,1064.81,2024-09-14
58,14,1,396,2024-10-31,29,2463.4,2024-11-02
59,30,4,349,2024-06-23,12,613.21,2024-07-07
60,31,3,51,2024-03-14,61,5684.38,2024-03-22
61,23,4,171,2022-11-02,38,3929.13,2022-11-08
62,50,3,240,2022-10-22,72,3666.23,2022-11-02
63,46,3,69,2025-03-24,17,187.58,2025-04-11
64,23,3,17,2023-03-15,147,315.85,2023-03-22
65,16,3,369,2024-08-20,17,259.6,2024-08-23
66,46,4,336,2023-03-30,37,1911.71,2023-04-16
67,4,3,437,2022-08-06,69,1153.87,2022-08-15
68,38,3,74,2023-08-18,19,648.2,2023-08-30
69,41,1,170,2023-04-15,18,350.55,2023-04-23
70,42,4,463,2022-12-23,129,755.86,2023-01-19
71,4,1,155,2024-05-25,15,513.13,2024-06-10
72,25,2,357,2022-12-26,50,786.4,2023-01-05
73,22,2,183,2024-12-28,64,6661.52,2024-12-29
74,6,1,453,2024-11-22,38,3686.59,2024-12-12
75,14,2,413,2024-10-16,26,673.06,2024-10-20
76,45,4,233,2022-06-15,42,1784.08,2022-06-24
77,44,4,132,2025-10-14,59,5346.89,2025-11-02
78,22,1,474,2024-01-07,107,2543.6,2024-01-09
79,20,1,302,2025-08-12,83,4534.79,2025-08-20
80,36,3,369,2022-10-21,106,1553.44,2022-10-29
81,19,4,463,2024-06-03,92,531.5,2024-06-14
82,11,1,400,2025-11-15,32,1340.76,2025-11-20
83,41,3,336,2025-12-30,32,1823.89,2026-01-08
84,12,1,167,2022-02-15,25,832.62,2022-03-02
85,50,3,187,2023-12-08,110,1193.68,2023-12-21
86,8,4,355,2023-03-17,28,232.22,2023-03-30
87,7,1,138,2022-04-19,55,839.72,2022-04-27
88,28,3,88,2024-04-27,47,648.65,2024-05-06
89,6,3,260,2022-01-10,78,3672.14,2022-01-23
90,4,2,150,2024-06-25,205,621.88,2024-07-07
91,25,3,257,2025-07-07,72,1054.69,2025-07-16
92,6,1,17,2025-07-23,40,91.18,2025-08-05
93,30,4,97,2025-10-30,26,1287.15,2025-11-17
94,37,3,283,2024-12-18,46,908.18,2024-12-26
95,5,3,288,2022-09-30,150,1086.0,2022-10-06
96,26,1,323,2023-09-30,119,905.44,2023-10-15
97,1,1,136,2025-07-26,86,16144.74,2025-08-07
98,3,1,433,2023-01-10,101,2809.07,2023-01-22
99,24,1,411,2023-10-13,78,871.16,2023-10-24
100,16,1,391,2024-07-03,104,1501.85,2024-07-11
101,22,1,283,2022-06-15,34,701.89,2022-06-17
102,8,1,56,2023-12-19,35,498.64,2023-12-30
103,9,3,440,2022-03-22,21,590.17,2022-04-01
104,40,2,103,2023-04-16,55,11991.01,2023-04-24
105,8,1,64,2025-01-04,53,1570.84,2025-01-14
106,46,3,183,2024-11-15,64,6754.52,2024-12-02
107,42,3,441,2025-10-10,37,1431.22,2025-10-21
